,frameType,packetNumber,OBCUpTime,obcT1,TXcurrent,RXcurrent,TempBatt,IMTQ_temp,tempP1,UTCTime
0,1.0,14285.0,15146.0,23.788849999999996,0.0,63.0,22.0,24.0,21.4921875,1510291098.0
1,1.0,14287.0,15148.0,24.178759999999997,377.0,63.0,22.0,24.0,21.4921875,1510291101.0
2,1.0,1042.0,1108.0,23.009029999999996,0.0,62.0,20.0,22.5,20.9921875,1509889680.0
3,1.0,6275.0,6646.0,24.568669999999997,0.0,63.0,22.0,24.5,22.4921875,1510224778.0
4,1.0,14288.0,15149.0,23.788849999999996,378.0,63.0,22.0,24.0,21.4921875,1510291104.0
5,1.0,14290.0,15151.0,24.178759999999997,0.0,63.0,22.0,24.0,21.4921875,1510291119.0
6,1.0,1057.0,1123.0,22.619119999999995,0.0,62.0,20.0,22.5,20.9921875,1509889742.0
7,1.0,14292.0,15153.0,24.178759999999997,377.0,63.0,22.0,24.0,21.4921875,1510291122.0
8,1.0,14294.0,15155.0,24.178759999999997,0.0,62.0,22.0,24.0,21.2421875,1510291135.0
9,1.0,14296.0,15158.0,24.178759999999997,377.0,63.0,22.0,24.0,21.4921875,1510291138.0
10,1.0,1072.0,1139.0,22.619119999999995,0.0,62.0,20.0,22.5,21.2421875,1509889804.0
11,1.0,6277.0,6648.0,24.958579999999998,0.0,62.0,22.0,24.5,22.2421875,1510224787.0
12,1.0,14298.0,15160.0,23.788849999999996,0.0,63.0,22.0,24.0,21.4921875,1510291151.0
13,1.0,14300.0,15162.0,23.788849999999996,377.0,63.0,22.0,24.0,21.4921875,1510291155.0
14,1.0,6278.0,6649.0,24.568669999999997,0.0,62.0,22.0,24.5,22.4921875,1510224791.0
15,1.0,3696.0,3914.0,24.178759999999997,0.0,62.0,22.0,24.0,21.7421875,1488702222.0
16,1.0,1102.0,1171.0,22.619119999999995,0.0,62.0,20.0,22.5,20.9921875,1509889928.0
